"SYMBOL","Log2FoldChange","Padj","change"
"RHOBTB2",-2.73858617184545,4.62766327510579e-57,"DOWN"
"HEATR5B",-0.418171416832477,2.36631777002753e-10,"NOT"
"SEC62",-0.0695449057029873,0.552271515735578,"NOT"
"RPS20",0.0963410607060814,0.39371970497266,"NOT"
"CSDE1",-0.265209565259333,0.00083943415256874,"NOT"
"UBE3C",0.515146243152226,6.76627370650584e-11,"NOT"
"REV3L",-0.963332900185951,5.11323967383731e-27,"NOT"
"TENM1",0.428496420095343,0.183415219522532,"NOT"
"PAX7",7.08114465781467,2.32312862332239e-35,"UP"
"MASP2",-1.23795905252303,5.49523311408765e-15,"DOWN"
"IYD",-2.17294331083138,5.04730275011658e-12,"DOWN"
"FAM76A",-0.577631678745765,4.00206058910858e-15,"NOT"
"TRAF3IP3",-0.444875153393276,0.016293445609365,"NOT"
"POMT2",0.507929215774659,8.12844351625338e-10,"NOT"
"VTA1",0.772002337263008,1.96510201714483e-26,"NOT"
"MLXIPL",0.191209306968642,0.480548706606508,"NOT"
"BAZ1B",0.400502665820968,3.18053914283679e-07,"NOT"
"RANBP9",0.264659956120627,0.00155917508052745,"NOT"
"ETV7",0.189062818134484,0.292079490296753,"NOT"
"SPRTN",0.829274248323572,2.85395815294767e-29,"NOT"
"METTL13",0.522914524223563,2.92788604521139e-14,"NOT"
"DYRK4",-0.0351824225068244,0.785472971117215,"NOT"
"ZNF207",0.492561339057723,4.11845056850522e-24,"NOT"
"UQCRC1",0.584233719388688,4.15313312371624e-16,"NOT"
"STARD3NL",-0.763690359942684,5.27975729930239e-10,"NOT"
"CD9",0.944418066952674,3.29629533085788e-11,"NOT"
"HHATL",-2.1465725885169,1.29728719452944e-08,"DOWN"
"NCAPD2",2.09526588831553,1.54305710280378e-83,"UP"
"IFFO1",-1.18768294087069,8.51637599125726e-17,"DOWN"
"GIPR",-0.532770579598549,0.00685431789990057,"NOT"
"PHF7",-0.14826528346048,0.103273239741041,"NOT"
"SEMA3G",-3.40919423509986,2.25938353740997e-120,"DOWN"
"NISCH",-0.7601161081768,6.74028509500514e-20,"NOT"
"STAB1",-0.899545855983379,1.78572565840152e-09,"NOT"
"FUZ",-0.230628578857024,0.0591580846553027,"NOT"
"SLC6A13",-2.20950735631298,2.89705060950709e-21,"DOWN"
"IDS",-0.791934874082713,2.79995292859005e-19,"NOT"
"PRSS3",5.43300628844746,5.22185824826745e-50,"UP"
"ZNF200",0.4520632534916,3.57588534292285e-10,"NOT"
